Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        1497913       79.9          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       1415433       75.5          0        0.0
               --yfu                         35820        1.9          0        0.0
      pawsey0420-gpu        1600000         200553       12.5          0        0.0
        --rmunaweera                          4398        0.3          0        0.0
           --psutton                         47098        2.9          0        0.0
             --aks19                         41767        2.6          0        0.0
               --yfu                         70959        4.4          0        0.0
              --yhao                         36329        2.3          0        0.0
